codigo_inep,ano,n_redacoes,media_c1,media_c2,media_c3,media_c4,media_c5
17006481,2024,29,116.55,145.52,115.17,130.34,87.59
17006511,2024,16,107.5,137.5,98.75,118.75,96.25
17006848,2024,27,106.67,128.89,105.19,115.56,73.33
17006872,2024,20,127.0,149.0,116.0,130.0,123.0
17007429,2024,10,106.0,116.0,94.0,114.0,60.0
17007470,2024,14,151.43,188.57,152.86,175.71,172.86
17007488,2024,33,117.58,136.97,112.73,126.67,109.7
17007496,2024,27,128.89,162.22,122.22,145.19,122.96
17007500,2024,83,125.3,157.11,122.17,135.9,121.69
17007526,2024,19,114.74,138.95,100.0,128.42,66.32
17007828,2024,32,112.5,136.88,108.12,121.25,96.25
17007860,2024,29,144.83,178.62,156.55,171.72,177.93
17007887,2024,19,107.37,122.11,91.58,114.74,81.05
17008794,2024,25,102.4,129.6,98.4,110.4,86.4
17008867,2024,39,110.77,136.92,105.64,127.18,90.26
17009316,2024,18,117.78,134.44,112.22,128.89,94.44
17009774,2024,9,115.56,124.44,102.22,120.0,88.89
17009880,2024,32,108.75,138.12,111.88,118.12,108.75
17010020,2024,33,110.3,126.67,101.21,118.79,86.67
17010330,2024,89,119.33,142.7,114.16,127.42,102.47
17010535,2024,10,118.0,138.0,100.0,116.0,90.0
17010748,2024,32,116.88,131.25,101.88,113.75,76.88
17010926,2024,11,107.27,134.55,118.18,129.09,78.18
17010934,2024,11,110.91,132.73,105.45,118.18,80.0
17011396,2024,17,123.53,145.88,117.65,135.29,121.18
17011736,2024,18,105.56,126.67,101.11,111.11,86.67
17011787,2024,27,114.81,151.11,119.26,134.81,111.11
17012104,2024,34,117.65,145.88,114.71,134.12,118.24
17012350,2024,36,117.22,141.11,109.44,123.33,85.56
17012970,2024,31,125.16,142.58,114.84,129.68,101.29
17013356,2024,21,142.86,170.48,148.57,165.71,150.48
17013364,2024,47,134.89,169.36,136.17,151.49,142.98
17013429,2024,50,119.2,144.4,111.6,132.4,107.6
17013453,2024,51,120.78,154.12,121.18,145.88,120.39
17014042,2024,6,113.33,123.33,103.33,110.0,60.0
17014050,2024,12,126.67,153.33,123.33,135.0,130.0
17014298,2024,19,109.47,125.26,102.11,115.79,94.74
17014522,2024,8,115.0,135.0,105.0,115.0,82.5
17014646,2024,36,113.33,138.89,109.44,127.78,111.11
17014654,2024,63,124.44,161.9,121.9,137.78,120.63
17014727,2024,17,124.71,155.29,121.18,142.35,104.71
17014751,2024,17,111.76,137.65,105.88,110.59,83.53
17015375,2024,53,118.49,146.79,111.32,125.28,99.62
17015952,2024,27,119.26,142.96,112.59,122.96,101.48
17016231,2024,52,115.38,145.38,111.54,126.15,96.15
17016819,2024,10,114.0,146.0,116.0,122.0,94.0
17016932,2024,14,101.43,142.86,108.57,117.14,92.86
17017041,2024,14,105.71,131.43,95.71,115.71,90.0
17017165,2024,24,119.17,141.67,117.5,125.0,106.67
17017653,2024,33,135.15,168.48,138.18,151.52,142.42
17017718,2024,9,124.44,157.78,128.89,128.89,115.56
17017912,2024,16,115.0,128.75,105.0,120.0,95.0
17018161,2024,11,123.64,140.0,110.91,127.27,103.64
17018188,2024,11,114.55,127.27,100.0,112.73,85.45
17018390,2024,44,112.73,135.45,102.73,123.18,90.45
17018994,2024,27,108.89,122.96,94.81,104.44,66.67
17019095,2024,19,112.63,140.0,108.42,125.26,90.53
17019176,2024,40,119.5,142.5,112.5,129.0,105.0
17019192,2024,17,115.29,129.41,103.53,112.94,76.47
17019206,2024,69,128.7,156.81,131.88,146.38,117.39
17019290,2024,14,110.0,142.86,108.57,121.43,92.86
17019303,2024,18,114.44,147.78,106.67,116.67,97.78
17019729,2024,34,117.06,132.94,109.41,128.24,93.53
17020140,2024,11,118.18,138.18,110.91,132.73,101.82
17020336,2024,28,110.0,135.0,102.14,121.43,90.71
17020590,2024,43,115.81,142.33,118.14,131.16,109.77
17020867,2024,26,110.0,135.38,110.0,120.77,65.38
17020875,2024,5,112.0,132.0,116.0,120.0,76.0
17021146,2024,23,116.52,139.13,110.43,124.35,100.0
17021243,2024,21,112.38,141.9,102.86,119.05,86.67
17021502,2024,44,115.0,131.36,111.36,122.27,77.73
17021545,2024,21,144.76,164.76,145.71,151.43,155.24
17021553,2024,13,124.62,150.77,120.0,130.77,112.31
17021588,2024,43,120.0,140.47,118.14,130.7,97.67
17021600,2024,92,124.35,147.61,120.65,133.91,116.52
17021634,2024,22,147.27,183.64,155.45,168.18,170.0
17021685,2024,56,126.07,147.86,125.36,137.5,121.07
17021731,2024,20,126.0,145.0,126.0,138.0,113.0
17021774,2024,24,111.67,130.83,110.0,114.17,92.5
17022312,2024,27,122.96,142.22,118.52,125.19,120.74
17022819,2024,32,112.5,130.62,107.5,125.0,100.62
17023319,2024,7,125.71,137.14,117.14,128.57,111.43
17023394,2024,45,107.56,130.22,100.89,113.33,91.11
17023530,2024,12,108.33,123.33,96.67,106.67,56.67
17023858,2024,10,114.0,142.0,122.0,132.0,106.0
17023939,2024,18,103.33,135.56,104.44,113.33,70.0
17024307,2024,67,120.9,144.18,118.81,129.85,109.25
17024790,2024,27,114.81,135.56,114.07,123.7,96.3
17024846,2024,20,143.0,172.0,149.0,161.0,156.0
