inep_nome,competencia_redacao_media,ano
12032271-INSTITUTO SENAI DE TECNOLOGIA MADEIRA E MOVEIS,1285.9259259259261,2024
12032441-IFAC - CAMPUS TARAUACA,1328.7179487179487,2024
12032611-ESC ADALBERTO SENA II,901.17647058823536,2024
12032859-ESC COLEGIO BATISTA BETEL,1480,2024
12033162-ESC ASAS DE AGUIA,1070.7692307692307,2024
12033359-ESC COLEGIO MILITAR TIRADENTES,1538.333333333333,2024
12033367-ESC COLEGIO MILITAR DOM PEDRO II,1526.3366336633665,2024
12033537-COLEGIO MILITAR ESTADUAL DOM PEDRO II - CZS,1529.2682926829268,2024
12033545-ESC INSTITUTO AGUIAS DO SABER,1395.5555555555554,2024
12033790-ESC CIVICO MILITAR PROFESSOR ALDACI SIMOES DA COSTA,1303.7623762376236,2024
12034568-ESC MARIA DAS GRACAS ROCHA RODRIGUES,1150.44776119403,2024
12044636-ESC PROF PEDRO MARTINELLO,1188.8524590163934,2024
12044822-ESC SEBASTIAO PEDROSA,1219.4594594594594,2024
12052221-ESC PROF CLICIA GADELHA,1161.0126582278481,2024
12091260-ESC BOA UNIAO ENSINO JOVEM,1063.5714285714287,2024
12128236-ESC FAMILIA AGRICOLA JEAN PIERRE MINGAN,1196,2024
13000136-ESCOLA ESTADUAL PE JOAO BADALOTTI,1071.1111111111109,2024
13000403-ESCOLA ESTADUAL ANGELINA PALHETA MENDES,938.18181818181813,2024
13000411-ESCOLA ESTADUAL SAO FRANCISCO DE SALES,1171.25,2024
13000837-ESCOLA ESTADUAL PADRE SCHANAIDER,962.0512820512821,2024
13001396-ESCOLA ESTADUAL SAO GABRIEL,1229.0909090909092,2024
13004255-ESCOLA ESTADUAL BENTA SOLART,1030.2439024390244,2024
13004964-ESCOLA ESTADUAL PIO VEIGA,1119.9999999999998,2024
13005081-ESCOLA ESTADUAL NOSSA SENHORA DA IMACULADA CONCEICAO,984.76190476190482,2024
13006614-ESCOLA ESTADUAL WALDEMARINA FERREIRA,1001.3333333333334,2024
13007203-ESCOLA ESTADUAL PE JOAO VAN DEN,1018.0487804878049,2024
13007351-ESCOLA ESTADUAL SANTO ANTONIO,1134.1935483870966,2024
13007734-ESCOLA ESTADUAL MONSENHOR EVANGELISTA CEFALONIA,1086.3414634146343,2024
13008455-ESCOLA ESTADUAL SAO FRANCISCO,1023.529411764706,2024
13008552-ESCOLA ESTADUAL OSVALDO NASCIMENTO,1055.9999999999998,2024
13011413-ESCOLA ESTADUAL ARMANDO DE SOUZA MENDES,1038.8888888888887,2024
13012096-ESCOLA ESTADUAL FRANCIDENE SOARES BARROSO,1136.2162162162163,2024
13012533-ESCOLA ESTADUAL PROF JOHANNES PETRUS,1100.9999999999998,2024
13013076-CENTRO EDUCACIONAL GOVERNADOR GILBERTO MESTRINHO,1200,2024
13013246-ESCOLA ESTADUAL FREI ANDRE DA COSTA,1051.1111111111113,2024
13013793-ESCOLA ESTADUAL GETULIO VARGAS,1044.705882352941,2024
13014242-ESCOLA ESTADUAL EDSON MELO,1013.3333333333335,2024
13014803-ESCOLA ESTADUAL TANCREDO NEVES,1090.3703703703704,2024
13014846-ESCOLA ESTADUAL PRESIDENTE COSTA E SILVA,1113.8461538461538,2024
13015370-ESCOLA ESTADUAL EUCLIDES CORREA VIEIRA,908.57142857142844,2024
13015397-ESCOLA ESTADUAL GETULIO VARGAS,1131.5555555555557,2024
13016318-ESCOLA ESTADUAL CARMINA DE CASTRO,1216.4705882352944,2024
13016776-ESCOLA ESTADUAL JOAO VIEIRA,1031.7460317460318,2024
13018221-ESCOLA ESTADUAL MARIA ALMEIDA DO NASCIMENTO,1031.6279069767445,2024
13018302-INSTITUTO BEREANO DE COARI,949.01960784313724,2024
13019007-ESCOLA ESTADUAL RAYMUNDO SA,1205,2024
13020269-ESCOLA ESTADUAL THOME FERREIRA SANTIAGO,1065.8823529411766,2024
13020803-ESCOLA ESTADUAL PEDRO DOS SANTOS,1157.2413793103447,2024
13020811-ESCOLA ESTADUAL SENADOR FABIO LUCENA,1096.2962962962963,2024
13021028-ESCOLA ESTADUAL CEL FIUZA,1110.9677419354839,2024
13021052-ESCOLA ESTADUAL VITAL DE ANDRADE BRANDAO,1495,2024
13021354-ESCOLA ESTADUAL ALBERTO SANTOS MIGUEIS,1095.5555555555557,2024
13021362-ESCOLA ESTADUAL TANCREDO DE ALMEIDA NEVES,1448.8888888888891,2024
13021630-ESCOLA ESTADUAL ISAIAS VASCONCELOS,1085.7142857142858,2024
13021648-ESCOLA ESTADUAL SENADOR JOAO BOSCO RAMOS DE LIMA,1055.3846153846157,2024
13022644-ESCOLA ESTADUAL AGRA REIS,970.00000000000011,2024
13022652-ESCOLA ESTADUAL ANDRE VIDAL DE ARAUJO,1056.3636363636363,2024
13022695-ESCOLA ESTADUAL JOSE SEFFAIR,1016.551724137931,2024
13022725-ESCOLA ESTADUAL NOSSA SENHORA DE NAZARE,1163.5555555555554,2024
13024230-ESCOLA ESTADUAL JOSE MOTA,1171.7333333333336,2024
13024264-ESCOLA ESTADUAL MARIO SILVA DALMEIDA,814.28571428571422,2024
13024990-ESCOLA ESTADUAL ANSELMO JACOB,1156.9811320754718,2024
13025082-ASSOCIACAO DE CIENCIAS EDUCACAO E TECNOLOGIA DA AMAZONIA,1397.5,2024
13025228-ESCOLA SESI DRA EMINA BARBOSA MUSTUFA,1342.4761904761906,2024
13025295-COLEGIO ADVENTISTA DA CIDADE NOVA,1336.5517241379314,2024
13025333-COLEGIO ADVENTISTA DE MANAUS,1297.560975609756,2024
