inep_nome,desempenho_habilidades,ano
13014846-ESCOLA ESTADUAL PRESIDENTE COSTA E SILVA,0.29138608026063606,2024
13015370-ESCOLA ESTADUAL EUCLIDES CORREA VIEIRA,0.27772177419354838,2024
13015397-ESCOLA ESTADUAL GETULIO VARGAS,0.27967592592592588,2024
13016318-ESCOLA ESTADUAL CARMINA DE CASTRO,0.28612993584530594,2024
13016776-ESCOLA ESTADUAL JOAO VIEIRA,0.24865058030380613,2024
13018221-ESCOLA ESTADUAL MARIA ALMEIDA DO NASCIMENTO,0.25707035525115046,2024
13018302-INSTITUTO BEREANO DE COARI,0.25942887494120886,2024
13019007-ESCOLA ESTADUAL RAYMUNDO SA,0.30439068100358424,2024
13020269-ESCOLA ESTADUAL THOME FERREIRA SANTIAGO,0.27618332279148222,2024
13020803-ESCOLA ESTADUAL PEDRO DOS SANTOS,0.28059395801331288,2024
13020811-ESCOLA ESTADUAL SENADOR FABIO LUCENA,0.26275565832017445,2024
13021028-ESCOLA ESTADUAL CEL FIUZA,0.27481851741737273,2024
13021052-ESCOLA ESTADUAL VITAL DE ANDRADE BRANDAO,0.23897569444444444,2024
13021354-ESCOLA ESTADUAL ALBERTO SANTOS MIGUEIS,0.273073476702509,2024
13021362-ESCOLA ESTADUAL TANCREDO DE ALMEIDA NEVES,0.25842853942652327,2024
13021630-ESCOLA ESTADUAL ISAIAS VASCONCELOS,0.27856190713434636,2024
13021648-ESCOLA ESTADUAL SENADOR JOAO BOSCO RAMOS DE LIMA,0.27935070306038051,2024
13022644-ESCOLA ESTADUAL AGRA REIS,0.26102150537634411,2024
13022652-ESCOLA ESTADUAL ANDRE VIDAL DE ARAUJO,0.25899926686217012,2024
13022695-ESCOLA ESTADUAL JOSE SEFFAIR,0.26703844218443779,2024
13022725-ESCOLA ESTADUAL NOSSA SENHORA DE NAZARE,0.31231504072531086,2024
13024230-ESCOLA ESTADUAL JOSE MOTA,0.30370554177005782,2024
13024264-ESCOLA ESTADUAL MARIO SILVA DALMEIDA,0.23332984220080993,2024
13024990-ESCOLA ESTADUAL ANSELMO JACOB,0.29008671939619518,2024
13025082-ASSOCIACAO DE CIENCIAS EDUCACAO E TECNOLOGIA DA AMAZONIA,0.51501736111111118,2024
13025228-ESCOLA SESI DRA EMINA BARBOSA MUSTUFA,0.4014218649123979,2024
13025295-COLEGIO ADVENTISTA DA CIDADE NOVA,0.40708006926529866,2024
13025333-COLEGIO ADVENTISTA DE MANAUS,0.38504262838101411,2024
13025376-COLEGIO ADVENTISTA DA ALVORADA,0.40059754767701367,2024
13025694-CENTRO EDUCACIONAL RAIMUNDO BELO FERREIRA,0.40039362519201227,2024
13025767-CENTRO EDUCACIONAL ARTHUR VIRGILIO FILHO,0.31512904396049757,2024
13025872-CENTRO EDUCACIONAL LATO SENSU,0.62939468125960074,2024
13026020-CENTRO EDUCACIONAL AMAZONIA,0.393721198156682,2024
13026194-CENTRO EDUCACIONAL LA SALLE,0.47869925301586808,2024
13026356-CENTRO EDUCACIONAL SILVIA GUERRA,0.35721208262591964,2024
13026402-ESCOLAS IDAAM - UNIDADE DJALMA BATISTA,0.4816479613429982,2024
13026470-COLEGIO AMAZONENSE DOM PEDRO II,0.3493960519593442,2024
13026488-COLEGIO MILITAR DE MANAUS,0.54506589045635379,2024
13026496-COLEGIO NOSSA SENHORA AUXILIADORA,0.37603046594982081,2024
13026500-COLEGIO SANTA DOROTEIA,0.50298579109062969,2024
13026550-COLEGIO BRASILEIRO PEDRO SILVESTRE,0.30489169574641961,2024
13026577-COLEGIO MILITAR DA POLICIA MILITAR DO AMAZONAS,0.46404186319481844,2024
13026585-COL DOM BOSCO,0.50924652118912073,2024
