codigo_inep,nome_escola,tipo_escola
11049812,EEEFM VALDOMIRO FRANCISCO DE OLIVEIRA,Pública
11049855,EEEFM PEDRO MENDES CARDOSO,Pública
11049936,EEEMTI LYDIA JOHNSON DE MACEDO,Pública
11049960,IFRO - CAMPUS GUAJARA-MIRIM,Pública
11050233,EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA,Pública
11050322,IFRO - CAMPUS JARU,Pública
11050349,EEEFM FERNANDO DE SOUZA GOMES,Pública
11050373,COOPERATIVA EDUCACIONAL DE CACOAL,Privada
11050870,EEEFM VIVALDINO FERNANDES DE AVILA,Pública
11104805,EEEFM CESAR FREITAS CASSOL,Pública
11106808,IFRO - CAMPUS JI-PARANA,Pública
11106859,EEEFM MOACYR CARAMELLO,Pública
11106867,EEEFM SHIRLEI CERUTI,Pública
11107804,IFRO - CAMPUS VILHENA,Pública
11108800,IFRO - CAMPUS ARIQUEMES,Pública
11109807,IFRO - CAMPUS PORTO VELHO CALAMA,Pública
11109815,IFRO - CAMPUS CACOAL,Pública
11113804,EEEFM RAIMUNDO NONATO VIEIRA DA SILVA,Pública
12000418,ESC FLODOARDO CABRAL,Pública
12000450,ESC CRAVEIRO COSTA,Pública
12000531,ESC DR VALERIO CALDAS DE MAGALHAES,Pública
12000906,ESC JUAREZ IBERNON,Pública
12000914,ESC CIVICO-MILITAR MADRE ADELGUNDES BECKER,Pública
12000930,ESC MANOEL BRAZ DE MELO,Pública
12000973,ESC MARCILIO NUNES RIBEIRO II,Pública
12001686,ESC INSTITUTO SANTA TERESINHA,Privada
12001805,ESC 1º DE MAIO,Pública
12001945,ESC ANTONIO OLIVEIRA DANTAS,Pública
12002046,ESC FRANCISCO FREIRE DE CARVALHO,Pública
12003050,ESC BORGES DE AQUINO,Pública
12004197,ESC JOSE GURGEL RABELLO,Pública
12004847,ESC SANTO ANTONIO I,Pública
12005711,ESC DR DJALMA DA CUNHA BATISTA,Pública
12005894,ESC JOAO RIBEIRO,Pública
12006920,ESC NAZIRA ANUTE DE LIMA,Pública
12007412,ESC ASSIS VASCONCELOS,Pública
12007617,ESC DOM JULIO MATTIOLI,Pública
12009369,ESC SAO JOAO BATISTA,Pública
12009725,ESC ARGENTINA PEREIRA FEITOSA,Pública
12010731,ESC SAO LUIZ GONZAGA,Pública
12010928,COLEGIO ADVENTISTA DE RIO BRANCO,Privada
